Test_HDD,Test-Mode,Queue-Depth,Blocksize,ReadIOPS,WriteIOPS,IOPS,Read_Bandwidth,Write_Bandwindth,Bandwidth,Latency,CPUusr%,CPUsys%
AN02JPLN,read,4,1m,256,0,256,256MiB,0,256MiB,15609.22,0.03%,0.49%
AN02JPLN,read,8,1m,256,0,256,256MiB,0,256MiB,31205.92,0.04%,0.41%
AN02JPLN,read,16,1m,256,0,256,256MiB,0,256MiB,62.39,0.04%,0.26%
AN02JPLN,read,32,1m,256,0,256,257MiB,0,257MiB,124.74,0.02%,0.20%
AN02JPLN,write,1,1m,0,254,254,0,254MiB,254MiB,3774.15,3.96%,0.45%
AN02JPLN,write,2,1m,0,253,253,0,254MiB,254MiB, 7.72,3.94%,0.48%
AN02JPLN,write,4,1m,0,252,252,0,252MiB,252MiB,15.70,3.89%,0.47%
AN02JPLN,write,8,1m,0,250,250,0,250MiB,250MiB,31.79,3.95%,0.40%
AN02JPLN,write,16,1m,0,251,251,0,251MiB,251MiB,63.53,3.93%,0.21%
AN02JPLN,write,32,1m,0,250,250,0,251MiB,251MiB,127.54,4.07%,0.23%
AN02JPLN,read,1,512k,513,0,513,257MiB,0,257MiB,1946.65,0.09%,0.53%
AN02JPLN,read,2,512k,513,0,513,257MiB,0,257MiB,3897.42,0.08%,0.50%
AN02JPLN,read,4,512k,512,0,512,256MiB,0,256MiB,7803.79,0.07%,0.54%
AN02JPLN,read,8,512k,513,0,513,257MiB,0,257MiB,15592.25,0.08%,0.46%
AN02JPLN,read,16,512k,512,0,512,256MiB,0,256MiB,31.24,0.07%,0.48%
AN02JPLN,read,32,512k,512,0,512,256MiB,0,256MiB,62.40,0.08%,0.37%
AN02JPLN,write,1,512k,0,508,508,0,254MiB,254MiB,1888.22,3.97%,0.44%
AN02JPLN,write,2,512k,0,509,509,0,255MiB,255MiB,3848.66,4.02%,0.44%
AN02JPLN,write,4,512k,0,508,508,0,254MiB,254MiB,7783.44,4.01%,0.43%
AN02JPLN,write,8,512k,0,504,504,0,252MiB,252MiB,15.79,3.96%,0.41%
AN02JPLN,write,16,512k,0,501,501,0,251MiB,251MiB,31.79,4.10%,0.36%
AN02JPLN,write,32,512k,0,501,501,0,251MiB,251MiB,63.75,3.97%,0.28%
AN02JPLN,read,1,256k,1028,0,1028,257MiB,0,257MiB,972.37,0.17%,0.57%
AN02JPLN,read,2,256k,1027,0,1027,257MiB,0,257MiB,1946.66,0.15%,0.58%
AN02JPLN,read,4,256k,1026,0,1026,257MiB,0,257MiB,3896.05,0.15%,0.59%
AN02JPLN,read,8,256k,1025,0,1025,256MiB,0,256MiB,7803.32,0.16%,0.57%
AN02JPLN,read,16,256k,1025,0,1025,256MiB,0,256MiB,15599.87,0.11%,0.80%
AN02JPLN,read,32,256k,1026,0,1026,257MiB,0,257MiB,31.16,0.16%,0.55%
AN02JPLN,write,1,256k,0,1016,1016,0,254MiB,254MiB,944.54,4.09%,0.63%
AN02JPLN,write,2,256k,0,1018,1018,0,255MiB,255MiB,1924.83,4.09%,0.47%
AN02JPLN,write,4,256k,0,1017,1017,0,254MiB,254MiB,3891.56,4.09%,0.44%
AN02JPLN,write,8,256k,0,1015,1015,0,254MiB,254MiB,7836.47,4.06%,0.47%
AN02JPLN,write,16,256k,0,1006,1006,0,252MiB,252MiB,15.85,4.02%,0.43%
AN02JPLN,write,32,256k,0,1003,1003,0,251MiB,251MiB,31.83,4.15%,0.53%
AN02JPLN,read,1,128k,2055,0,2055,257MiB,0,257MiB,486.24,0.25%,0.79%
AN02JPLN,read,2,128k,2054,0,2054,257MiB,0,257MiB,973.29,0.32%,0.73%
AN02JPLN,read,4,128k,2055,0,2055,257MiB,0,257MiB,1945.73,0.28%,0.76%
AN02JPLN,read,8,128k,2050,0,2050,256MiB,0,256MiB,3900.39,0.31%,0.71%
AN02JPLN,read,16,128k,2051,0,2051,256MiB,0,256MiB,7797.50,0.29%,1.31%
AN02JPLN,read,32,128k,2049,0,2049,256MiB,0,256MiB,15611.92,0.35%,1.05%
AN02JPLN,write,1,128k,0,2037,2037,0,255MiB,255MiB,471.07,4.24%,0.98%
AN02JPLN,write,2,128k,0,2034,2034,0,254MiB,254MiB,963.25,4.15%,0.71%
AN02JPLN,write,4,128k,0,2038,2038,0,255MiB,255MiB,1943.01,4.21%,0.63%
AN02JPLN,write,8,128k,0,2038,2038,0,255MiB,255MiB,3904.52,4.25%,0.64%
AN02JPLN,write,16,128k,0,2031,2031,0,254MiB,254MiB,7854.25,4.35%,1.06%
AN02JPLN,write,32,128k,0,2017,2017,0,252MiB,252MiB,15.84,4.14%,0.77%
AN02JPLN,read,1,64k,4114,0,4114,257MiB,0,257MiB,242.76,0.51%,1.12%
AN02JPLN,read,2,64k,4115,0,4115,257MiB,0,257MiB,485.64,0.49%,1.13%
AN02JPLN,read,4,64k,4106,0,4106,257MiB,0,257MiB,973.86,0.52%,1.11%
AN02JPLN,read,8,64k,4108,0,4108,257MiB,0,257MiB,1946.69,0.50%,1.14%
AN02JPLN,read,16,64k,4103,0,4103,256MiB,0,256MiB,3899.11,0.47%,2.30%
AN02JPLN,read,32,64k,4095,0,4095,256MiB,0,256MiB, 7.81,0.56%,2.34%
AN02JPLN,write,1,64k,0,4072,4072,0,255MiB,255MiB,235.54,4.47%,1.70%
AN02JPLN,write,2,64k,0,4071,4071,0,254MiB,254MiB,481.20,4.44%,1.05%
AN02JPLN,write,4,64k,0,4071,4071,0,254MiB,254MiB,972.45,4.36%,1.14%
AN02JPLN,write,8,64k,0,4068,4068,0,254MiB,254MiB,1956.41,4.35%,1.14%
AN02JPLN,write,16,64k,0,4078,4078,0,255MiB,255MiB,3913.45,4.76%,1.87%
AN02JPLN,write,32,64k,0,4063,4063,0,254MiB,254MiB,7865.06,4.73%,1.87%
AN02JPLN,read,1,32k,8233,0,8233,257MiB,0,257MiB,121.17,0.64%,2.07%
AN02JPLN,read,2,32k,8231,0,8231,257MiB,0,257MiB,242.66,0.68%,2.06%
AN02JPLN,read,4,32k,8218,0,8218,257MiB,0,257MiB,486.42,0.67%,2.02%
AN02JPLN,read,8,32k,8220,0,8220,257MiB,0,257MiB,972.93,0.66%,2.04%
AN02JPLN,read,16,32k,8206,0,8206,256MiB,0,256MiB,1949.39,0.65%,2.38%
AN02JPLN,read,32,32k,8194,0,8194,256MiB,0,256MiB,3904.52,0.57%,2.16%
AN02JPLN,write,1,32k,0,8123,8123,0,254MiB,254MiB,117.95,4.54%,3.42%
AN02JPLN,write,2,32k,0,8142,8142,0,254MiB,254MiB,240.48,4.64%,1.98%
AN02JPLN,write,4,32k,0,8150,8150,0,255MiB,255MiB,485.63,4.79%,1.82%
AN02JPLN,write,8,32k,0,8137,8137,0,254MiB,254MiB,977.90,4.73%,1.90%
AN02JPLN,write,16,32k,0,8143,8143,0,254MiB,254MiB,1959.74,5.16%,3.37%
AN02JPLN,write,32,32k,0,8132,8132,0,254MiB,254MiB,3929.88,5.34%,3.45%
AN02JPLN,read,1,16k,16.4k,0,16.4k,257MiB,0,257MiB,60.50,1.19%,3.66%
AN02JPLN,read,2,16k,16.5k,0,16.5k,257MiB,0,257MiB,121.12,1.25%,3.60%
AN02JPLN,read,4,16k,16.4k,0,16.4k,257MiB,0,257MiB,243.00,1.19%,3.70%
AN02JPLN,read,8,16k,16.4k,0,16.4k,257MiB,0,257MiB,486.09,1.23%,3.67%
AN02JPLN,read,16,16k,16.4k,0,16.4k,257MiB,0,257MiB,973.15,1.73%,6.69%
AN02JPLN,read,32,16k,16.4k,0,16.4k,256MiB,0,256MiB,1950.89,1.34%,5.02%
AN02JPLN,write,1,16k,0,16.2k,16.2k,0,253MiB,253MiB,59.12,4.90%,5.91%
AN02JPLN,write,2,16k,0,16.3k,16.3k,0,254MiB,254MiB,120.26,5.24%,3.50%
AN02JPLN,write,4,16k,0,16.3k,16.3k,0,254MiB,254MiB,243.37,5.07%,3.65%
AN02JPLN,write,8,16k,0,16.2k,16.2k,0,254MiB,254MiB,489.70,5.11%,3.64%
AN02JPLN,write,16,16k,0,16.2k,16.2k,0,254MiB,254MiB,982.58,4.61%,4.11%
AN02JPLN,write,32,16k,0,16.2k,16.2k,0,253MiB,253MiB,1970.87,6.25%,6.27%
AN02JPLN,read,1,8k,25.9k,0,25.9k,202MiB,0,202MiB,38.35,2.00%,5.16%
AN02JPLN,read,2,8k,32.8k,0,32.8k,256MiB,0,256MiB,60.74,2.48%,6.55%
AN02JPLN,read,4,8k,32.9k,0,32.9k,257MiB,0,257MiB,121.31,2.45%,6.62%
AN02JPLN,read,8,8k,32.8k,0,32.8k,256MiB,0,256MiB,243.49,2.45%,6.59%
AN02JPLN,read,16,8k,32.8k,0,32.8k,257MiB,0,257MiB,486.80,2.12%,6.38%
AN02JPLN,read,32,8k,32.8k,0,32.8k,256MiB,0,256MiB,976.40,3.30%,12.70%
AN02JPLN,write,1,8k,0,22.8k,22.8k,0,178MiB,178MiB,42.26,3.85%,8.72%
AN02JPLN,write,2,8k,0,31.7k,31.7k,0,247MiB,247MiB,61.68,6.28%,6.35%
AN02JPLN,write,4,8k,0,32.3k,32.3k,0,252MiB,252MiB,122.43,6.35%,6.49%
AN02JPLN,write,8,8k,0,32.2k,32.2k,0,252MiB,252MiB,246.99,6.40%,6.42%
AN02JPLN,write,16,8k,0,32.2k,32.2k,0,252MiB,252MiB,494.85,5.50%,6.84%
AN02JPLN,write,32,8k,0,32.2k,32.2k,0,252MiB,252MiB,992.31,8.16%,11.54%
AN02JPLN,read,1,4k,31.8k,0,31.8k,124MiB,0,124MiB,31.19,2.45%,6.04%
AN02JPLN,read,2,4k,37.7k,0,37.7k,147MiB,0,147MiB,52.81,2.88%,7.25%
AN02JPLN,read,4,4k,42.9k,0,42.9k,168MiB,0,168MiB,92.89,3.27%,8.19%
AN02JPLN,read,8,4k,42.7k,0,42.7k,167MiB,0,167MiB,186.95,3.47%,8.29%
AN02JPLN,read,16,4k,42.6k,0,42.6k,166MiB,0,166MiB,375.59,4.39%,15.38%
AN02JPLN,read,32,4k,42.7k,0,42.7k,167MiB,0,167MiB,749.14,2.74%,8.05%
AN02JPLN,write,1,4k,0,27.0k,27.0k,0,106MiB,106MiB,36.10,3.95%,8.65%
AN02JPLN,write,2,4k,0,35.6k,35.6k,0,139MiB,139MiB,55.23,4.94%,6.92%
AN02JPLN,write,4,4k,0,42.7k,42.7k,0,167MiB,167MiB,92.84,5.87%,8.21%
AN02JPLN,write,8,4k,0,40.4k,40.4k,0,158MiB,158MiB,197.05,5.46%,7.97%
AN02JPLN,write,16,4k,0,39.7k,39.7k,0,155MiB,155MiB,402.60,4.69%,7.82%
AN02JPLN,write,32,4k,0,39.9k,39.9k,0,156MiB,156MiB,801.34,4.75%,7.88%
